"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Oct 09 2009","2455114","276782401","5.71","3.73e-8","2.46e-8","-2.1","-","1e-8","0","bin144.log"
"Oct 12 2009","2455117","277041601","6.48","4.25e-8","2.67e-8","-2.1","-","1e-8","0","bin145.log"
"Oct 15 2009","2455120","277300801","0.16","< 8.03e-8","-","-","-","1e-8","0","bin146.log"
"Oct 18 2009","2455123","277560001","12.53","6.39e-8","3.05e-8","-2.1","-","1e-8","0","bin147.log"
"Oct 21 2009","2455126","277819201","8.38","6.15e-8","3.25e-8","-2.1","-","1e-8","0","bin148.log"
"Oct 24 2009","2455129","278078401","2.18","< 1.05e-7","-","-","-","1e-8","0","bin149.log"
"Oct 27 2009","2455132","278337601","17.07","8.82e-8","3.68e-8","-2.1","-","1e-8","0","bin150.log"
"Oct 30 2009","2455135","278596801","12.3","8.95e-8","3.97e-8","-2.1","-","1e-8","0","bin151.log"
"Nov 02 2009","2455138","278856001","3.45","< 1.34e-7","-","-","-","1e-8","0","bin152.log"
"Nov 05 2009","2455141","279115201","0.75","< 1.03e-7","-","-","-","1e-8","0","bin153.log"
"Nov 08 2009","2455144","279374401","13.14","4.70e-8","3.16e-8","-2.1","-","1e-8","0","bin154.log"
"Nov 11 2009","2455147","279633601","11.07","1.09e-7","4.58e-8","-2.1","-","1e-8","0","bin155.log"
"Nov 14 2009","2455150","279892801","15.93","1.08e-7","4.37e-8","-2.1","-","1e-8","0","bin156.log"
"Nov 17 2009","2455153","280152001","51.56","1.88e-7","4.80e-8","-2.1","-","1e-8","0","bin157.log"
"Nov 20 2009","2455156","280411201","1.33","< 1.19e-7","-","-","-","1e-8","0","bin158.log"
"Nov 23 2009","2455159","280670401","4.07","4.51e-8","3.09e-8","-2.1","-","1e-8","0","bin159.log"
"Nov 26 2009","2455162","280929601","24.74","1.23e-7","3.96e-8","-2.1","-","1e-8","0","bin160.log"
"Nov 29 2009","2455165","281188801","42.13","1.82e-7","4.70e-8","-2.1","-","1e-8","0","bin161.log"
"Dec 02 2009","2455168","281448001","52.46","1.85e-7","4.70e-8","-2.1","-","1e-8","0","bin162.log"
"Dec 05 2009","2455171","281707201","25.49","8.70e-8","3.36e-8","-2.1","-","1e-8","0","bin163.log"
"Dec 08 2009","2455174","281966401","3.32","< 9.95e-8","-","-","-","1e-8","0","bin164.log"
"Dec 11 2009","2455177","282225601","0.89","< 7.56e-8","-","-","-","1e-8","0","bin165.log"
"Dec 14 2009","2455180","282484801","15.73","8.36e-8","3.58e-8","-2.1","-","1e-8","0","bin166.log"
"Dec 17 2009","2455183","282744001","12.33","6.52e-8","3.12e-8","-2.1","-","1e-8","0","bin167.log"
"Dec 20 2009","2455186","283003201","7.63","7.36e-8","3.70e-8","-2.1","-","1e-8","0","bin168.log"
"Dec 23 2009","2455189","283262401","27.37","1.41e-7","4.66e-8","-2.1","-","1e-8","0","bin169.log"
"Dec 26 2009","2455192","283521601","20.64","1.02e-7","3.92e-8","-2.1","-","1e-8","0","bin170.log"
"Dec 29 2009","2455195","283780801","20.86","9.94e-8","4.25e-8","-2.1","-","1e-8","0","bin171.log"
"Jan 01 2010","2455197","284040001","11.17","1.14e-7","4.60e-8","-2.1","-","1e-8","0","bin172.log"
"Jan 04 2010","2455200","284299201","0.79","< 1.05e-7","-","-","-","1e-8","0","bin173.log"
"Jan 07 2010","2455203","284558401","0.08","< 8.03e-8","-","-","-","1e-8","0","bin174.log"
"Jan 10 2010","2455206","284817601","0.07","< 6.38e-8","-","-","-","1e-8","0","bin175.log"
"Jan 13 2010","2455209","285076801","7.92","6.41e-8","3.58e-8","-2.1","-","1e-8","0","bin176.log"
"Jan 16 2010","2455212","285336001","17.14","8.47e-8","3.72e-8","-2.1","-","1e-8","0","bin177.log"
"Jan 19 2010","2455215","285595201","14.48","9.20e-8","3.61e-8","-2.1","-","1e-8","0","bin178.log"
"Jan 22 2010","2455218","285854401","19.06","9.93e-8","3.96e-8","-2.1","-","1e-8","0","bin179.log"
"Jan 25 2010","2455221","286113601","13.5","1.02e-7","4.03e-8","-2.1","-","1e-8","0","bin180.log"
"Jan 28 2010","2455224","286372801","5.55","3.94e-8","2.60e-8","-2.1","-","1e-8","0","bin181.log"
"Jan 31 2010","2455227","286632001","18.99","9.63e-8","3.60e-8","-2.1","-","1e-8","0","bin182.log"
"Feb 03 2010","2455230","286891201","14.83","5.87e-8","2.90e-8","-2.1","-","1e-8","0","bin183.log"
"Feb 06 2010","2455233","287150401","1.56","< 8.87e-8","-","-","-","1e-8","0","bin184.log"
"Feb 09 2010","2455236","287409601","1.97","< 7.40e-8","-","-","-","1e-8","0","bin185.log"
"Feb 12 2010","2455239","287668801","20.96","9.74e-8","4.15e-8","-2.1","-","1e-8","0","bin186.log"
"Feb 15 2010","2455242","287928001","11.51","9.46e-8","4.00e-8","-2.1","-","1e-8","0","bin187.log"
"Feb 18 2010","2455245","288187201","9.47","6.34e-8","3.37e-8","-2.1","-","1e-8","0","bin188.log"
"Feb 21 2010","2455248","288446401","7.6","7.52e-8","3.80e-8","-2.1","-","1e-8","0","bin189.log"
"Feb 24 2010","2455251","288705601","27.88","1.51e-7","4.70e-8","-2.1","-","1e-8","0","bin190.log"
"Feb 27 2010","2455254","288964801","48.96","2.02e-7","5.00e-8","-2.1","-","1e-8","0","bin191.log"
"Mar 02 2010","2455259","289224001","2.44","< 8.93e-8","-","-","-","1e-8","0","bin192.log"
"Mar 05 2010","2455262","289483201","1.57","< 1.15e-7","-","-","-","1e-8","0","bin193.log"
"Mar 08 2010","2455265","289742401","7.77","7.51e-8","3.75e-8","-2.1","-","1e-8","0","bin194.log"
"Mar 11 2010","2455268","290001601","48.78","1.58e-7","4.40e-8","-2.1","-","1e-8","0","bin195.log"
"Mar 14 2010","2455271","290260801","64.92","2.28e-7","5.00e-8","-2.1","-","1e-8","0","bin196.log"
"Mar 17 2010","2455274","290520001","126.05","3.18e-7","5.70e-8","-2.1","-","1e-8","0","bin197.log"
"Mar 20 2010","2455277","290779201","39.39","1.64e-7","4.70e-8","-2.1","-","1e-8","0","bin198.log"
"Mar 23 2010","2455280","291038401","76.69","2.72e-7","5.40e-8","-2.1","-","1e-8","0","bin199.log"
"Mar 26 2010","2455283","291297601","17.09","8.41e-8","3.48e-8","-2.1","-","1e-8","0","bin200.log"
"Mar 29 2010","2455286","291556801","13.04","7.61e-8","3.34e-8","-2.1","-","1e-8","0","bin201.log"
"Apr 01 2010","2455289","291816001","125.08","2.62e-7","4.90e-8","-2.1","-","1e-8","0","bin202.log"
